Frame,Time_Seconds,CGY,ID
1,0.02,607.865967,4035
2,0.04,607.677612,4035
3,0.06,607.963745,4035
4,0.08,608.296692,4035
5,0.1,608.423523,4035
6,0.12,608.388611,4035
7,0.14,607.865234,4035
8,0.16,607.059143,4035
9,0.18,606.202515,4035
10,0.2,604.715881,4035
11,0.22,602.510254,4035
12,0.24,599.946411,4035
13,0.26,596.666077,4035
14,0.28,593.010254,4035
15,0.3,589.607849,4035
16,0.32,585.088989,4035
17,0.34,578.897278,4035
18,0.36,572.48407,4035
19,0.38,564.58728,4035
20,0.4,553.602417,4035
21,0.42,540.687256,4035
22,0.44,527.575317,4035
23,0.46,517.462219,4035
24,0.48,503.635681,4035
25,0.5,489.174896,4035
26,0.52,478.494293,4035
27,0.54,465.49942,4035
28,0.56,452.886108,4035
29,0.58,440.229797,4035
30,0.6,427.358826,4035
31,0.62,421.344299,4035
32,0.64,416.537567,4035
33,0.66,414.873749,4035
34,0.68,415.652771,4035
35,0.7,418.710693,4035
36,0.72,423.083618,4035
37,0.74,429.245026,4035
38,0.76,436.207153,4035
39,0.78,446.58477799999997,4035
40,0.8,459.939209,4035
41,0.82,473.426453,4035
42,0.84,487.85672,4035
43,0.86,506.12915,4035
44,0.88,526.991943,4035
45,0.9,549.714417,4035
46,0.92,575.144653,4035
47,0.94,598.949097,4035
48,0.96,621.942993,4035
49,0.98,644.136047,4035
50,1,663.528748,4035
51,1.02,676.970947,4035
52,1.04,682.833435,4035
53,1.06,685.833557,4035
54,1.08,685.969971,4035
55,1.1,682.979614,4035
56,1.12,673.407349,4035
57,1.14,660.489929,4035
58,1.16,642.62384,4035
59,1.18,620.838257,4035
60,1.2,599.017639,4035
61,1.22,582.481201,4035
62,1.24,575.196899,4035
63,1.26,575.322998,4035
64,1.28,581.427673,4035
65,1.3,593.268799,4035
66,1.32,608.110046,4035
67,1.34,619.134338,4035
68,1.36,626.079346,4035
69,1.38,628.36554,4035
70,1.4,628.442017,4035
71,1.42,627.096375,4035
72,1.44,624.873474,4035
73,1.46,621.714905,4035
74,1.48,620.478271,4035
75,1.5,618.447998,4035
76,1.52,618.219543,4035
77,1.54,618.027466,4035
78,1.56,617.96759,4035
79,1.58,618.438965,4035
80,1.6,619.14563,4035
81,1.62,619.644409,4035
82,1.64,619.539124,4035
83,1.66,619.800354,4035
84,1.68,619.954285,4035
85,1.7,620.412292,4035
86,1.72,620.723206,4035
87,1.74,621.416931,4035
88,1.76,621.578613,4035
89,1.78,621.548401,4035
90,1.8,621.00116,4035
91,1.82,620.057434,4035
92,1.84,618.536438,4035
93,1.86,618.506714,4035
94,1.88,618.388123,4035
95,1.9,618.332764,4035
96,1.92,618.434326,4035
97,1.94,618.472412,4035
98,1.96,618.605286,4035
99,1.98,618.494202,4035
100,2,618.415527,4035
101,2.02,618.562439,4035
102,2.04,618.593567,4035
103,2.06,618.630615,4035
104,2.08,618.631348,4035
105,2.1,618.716919,4035
106,2.12,618.762329,4035
107,2.14,618.796875,4035
108,2.16,618.89624,4035
