id;age
4003;57
4005;51
4006;59
4007;48
4008;59
4014;54
4015;52
4018;48
4019;52
4021;52
4023;56
4027;45
4029;57
4035;44
4037;57
4038;NA
4039;41
4041;39
4042;42
