Frame,Time_Seconds,CGY,ID
1,0.02,677.835693,4042
2,0.04,679.231934,4042
3,0.06,680.0047,4042
4,0.08,680.116211,4042
5,0.1,680.101501,4042
6,0.12,679.778442,4042
7,0.14,679.415161,4042
8,0.16,679.008423,4042
9,0.18,677.865051,4042
10,0.2,677.108704,4042
11,0.22,675.666687,4042
12,0.24,674.495483,4042
13,0.26,673.10614,4042
14,0.28,671.197327,4042
15,0.3,668.352051,4042
16,0.32,664.764038,4042
17,0.34,659.952637,4042
18,0.36,655.65448,4042
19,0.38,649.835754,4042
20,0.4,644.366577,4042
21,0.42,637.409241,4042
22,0.44,629.800781,4042
23,0.46,619.455566,4042
24,0.48,610.017334,4042
25,0.5,599.140747,4042
26,0.52,586.213074,4042
27,0.54,573.428406,4042
28,0.56,562.450684,4042
29,0.58,552.029724,4042
30,0.6,543.414307,4042
31,0.62,531.920837,4042
32,0.64,527.230652,4042
33,0.66,523.942139,4042
34,0.68,521.319885,4042
35,0.7,522.433472,4042
36,0.72,525.741699,4042
37,0.74,533.030701,4042
38,0.76,542.624451,4042
39,0.78,555.880127,4042
40,0.8,569.313721,4042
41,0.82,588.379761,4042
42,0.84,605.937927,4042
43,0.86,624.967041,4042
44,0.88,642.454041,4042
45,0.9,660.676819,4042
46,0.92,672.035889,4042
47,0.94,678.841003,4042
48,0.96,681.831116,4042
49,0.98,682.06073,4042
50,1,679.690674,4042
51,1.02,673.874512,4042
52,1.04,665.643372,4042
53,1.06,649.281311,4042
54,1.08,629.302063,4042
55,1.1,605.945679,4042
56,1.12,576.785522,4042
57,1.14,550.846375,4042
58,1.16,525.38830599999994,4042
59,1.18,506.897888,4042
60,1.2,495.902527,4042
61,1.22,491.33078,4042
62,1.24,492.091003,4042
63,1.26,494.987152,4042
64,1.28,499.239166,4042
65,1.3,505.843414,4042
66,1.32,513.105835,4042
67,1.34,519.886963,4042
68,1.36,527.295715,4042
69,1.38,535.133301,4042
70,1.4,541.912415,4042
71,1.42,548.808533,4042
72,1.44,555.740356,4042
73,1.46,561.144836,4042
74,1.48,564.109131,4042
75,1.5,567.115356,4042
76,1.52,568.323853,4042
77,1.54,567.236938,4042
78,1.56,565.634827,4042
79,1.58,563.428528,4042
80,1.6,561.54425,4042
81,1.62,559.88562,4042
82,1.64,558.609741,4042
83,1.66,557.601135,4042
84,1.68,557.820862,4042
85,1.7,557.736816,4042
86,1.72,557.679321,4042
87,1.74,557.695862,4042
88,1.76,558.176636,4042
89,1.78,558.818237,4042
90,1.8,559.180481,4042
91,1.82,558.914917,4042
92,1.84,561.018127,4042
93,1.86,562.180847,4042
