Frame,Time_Seconds,CGY,ID
1,0.02,673.555969,4029
2,0.04,673.195984,4029
3,0.06,672.58044400000006,4029
4,0.08,671.704712,4029
5,0.1,670.535217,4029
6,0.12,669.264038,4029
7,0.14,667.65332,4029
8,0.16,665.257812,4029
9,0.18,661.556519,4029
10,0.2,657.577393,4029
11,0.22,653.012512,4029
12,0.24,647.535217,4029
13,0.26,643.690002,4029
14,0.28,639.0401,4029
15,0.3,633.791809,4029
16,0.32,626.936218,4029
17,0.34,618.290649,4029
18,0.36,609.132507,4029
19,0.38,599.9198,4029
20,0.4,590.017578,4029
21,0.42,580.391174,4029
22,0.44,568.673401,4029
23,0.46,558.978882,4029
24,0.48,547.945251,4029
25,0.5,538.246277,4029
26,0.52,527.535278,4029
27,0.54,516.635559,4029
28,0.56,506.893677,4029
29,0.58,497.946289,4029
30,0.6,488.947937,4029
31,0.62,479.750366,4029
32,0.64,469.111328,4029
33,0.66,458.856842,4029
34,0.68,452.643951,4029
35,0.7,447.263153,4029
36,0.72,443.510132,4029
37,0.74,440.458801,4029
38,0.76,438.351074,4029
39,0.78,437.530792,4029
40,0.8,437.528168,4029
41,0.82,437.399841,4029
42,0.84,439.739197,4029
43,0.86,443.020416,4029
44,0.88,448.4776,4029
45,0.9,454.580292,4029
46,0.92,463.67514,4029
47,0.94,475.629333,4029
48,0.96,496.863007,4029
49,0.98,520.381409,4029
50,1,548.967407,4029
51,1.02,581.342468,4029
52,1.04,616.325012,4029
53,1.06,648.052429,4029
54,1.08,679.644775,4029
55,1.1,707.238098,4029
56,1.12,735.915588,4029
57,1.14,757.053223,4029
58,1.16,774.008057,4029
59,1.18,785.422546,4029
60,1.2,792.136047,4029
61,1.22,793.01239,4029
62,1.24,791.692871,4029
63,1.26,785.063416,4029
64,1.28,772.187073,4029
65,1.3,755.822449,4029
66,1.32,736.45752,4029
67,1.34,714.060364,4029
68,1.36,685.837646,4029
69,1.38,651.915955,4029
70,1.4,616.553223,4029
71,1.42,584.11853,4029
72,1.44,561.008606,4029
73,1.46,540.10705599999994,4029
74,1.48,525.239441,4029
75,1.5,515.015381,4029
76,1.52,510.053864,4029
77,1.54,508.199799,4029
78,1.56,507.228424,4029
79,1.58,507.880768,4029
80,1.6,512.861023,4029
81,1.62,518.941833,4029
82,1.64,526.630371,4029
83,1.66,534.738647,4029
84,1.68,543.493286,4029
85,1.7,553.476074,4029
86,1.72,561.395752,4029
87,1.74,570.189514,4029
88,1.76,577.213501,4029
89,1.78,584.566772,4029
90,1.8,591.705811,4029
91,1.82,599.496094,4029
92,1.84,607.85083,4029
93,1.86,615.275269,4029
94,1.88,622.81012,4029
95,1.9,629.713562,4029
96,1.92,637.299683,4029
97,1.94,642.440552,4029
98,1.96,646.842712,4029
99,1.98,649.835938,4029
100,2,652.728455,4029
101,2.02,655.583252,4029
102,2.04,657.715332,4029
103,2.06,660.570129,4029
104,2.08,663.340515,4029
105,2.1,666.690308,4029
106,2.12,669.172791,4029
107,2.14,673.167358,4029
108,2.16,677.565247,4029
109,2.18,681.090759,4029
110,2.2,684.358704,4029
111,2.22,686.609314,4029
112,2.24,687.924744,4029
113,2.26,689.46875,4029
114,2.28,690.022949,4029
115,2.3,691.018494,4029
116,2.32,691.963074,4029
117,2.34,692.771057,4029
118,2.36,693.266846,4029
119,2.38,694.226929,4029
120,2.4,695.469543,4029
121,2.42,697.09375,4029
122,2.44,698.795349,4029
123,2.46,699.141113,4029
124,2.48,699.27948,4029
125,2.5,699.280212,4029
126,2.52,699.175842,4029
127,2.54,699.323486,4029
128,2.56,699.716492,4029
129,2.58,700.198486,4029
130,2.6,700.841248,4029
131,2.62,701.808289,4029
132,2.64,702.200256,4029
133,2.66,702.62677,4029
134,2.68,703.018311,4029
135,2.7,703.505249,4029
136,2.72,704.145325,4029
