Frame,Time_Seconds,CGY,ID
1,0.02,692.698303,4019
2,0.04,692.459656,4019
3,0.06,692.005066,4019
4,0.08,691.143921,4019
5,0.1,690.598145,4019
6,0.12,689.926819,4019
7,0.14,689.040527,4019
8,0.16,688.179504,4019
9,0.18,687.238708,4019
10,0.2,686.640625,4019
11,0.22,685.730835,4019
12,0.24,683.371643,4019
13,0.26,680.597168,4019
14,0.28,677.060425,4019
15,0.3,671.931091,4019
16,0.32,667.114929,4019
17,0.34,662.21051,4019
18,0.36,654.907288,4019
19,0.38,647.488708,4019
20,0.4,640.226501,4019
21,0.42,632.336243,4019
22,0.44,622.344238,4019
23,0.46,609.492798,4019
24,0.48,597.358826,4019
25,0.5,582.668457,4019
26,0.52,566.654602,4019
27,0.54,553.115967,4019
28,0.56,540.90155,4019
29,0.58,534.689209,4019
30,0.6,526.659912,4019
31,0.62,527.524658,4019
32,0.64,533.594727,4019
33,0.66,539.432434,4019
34,0.68,550.243164,4019
35,0.7,559.028381,4019
36,0.72,572.920776,4019
37,0.74,592.773865,4019
38,0.76,615.65332,4019
39,0.78,635.906067,4019
40,0.8,660.709473,4019
41,0.82,685.111938,4019
42,0.84,707.439453,4019
43,0.86,729.486511,4019
44,0.88,743.154236,4019
45,0.9,754.867004,4019
46,0.92,764.077271,4019
47,0.94,767.465271,4019
48,0.96,766.069702,4019
49,0.98,760.201965,4019
50,1,751.090149,4019
51,1.02,738.82580599999994,4019
52,1.04,723.599915,4019
53,1.06,703.193176,4019
54,1.08,679.024048,4019
55,1.1,649.659363,4019
56,1.12,617.559143,4019
57,1.14,580.33551,4019
58,1.16,544.646362,4019
59,1.18,515.703552,4019
60,1.2,495.829956,4019
61,1.22,479.839966,4019
62,1.24,467.877716,4019
63,1.26,461.933228,4019
64,1.28,459.382843,4019
65,1.3,458.011902,4019
66,1.32,456.976807,4019
67,1.34,458.89856,4019
68,1.36,463.563202,4019
69,1.38,472.589752,4019
70,1.4,483.457611,4019
71,1.42,493.680603,4019
72,1.44,505.035858,4019
73,1.46,514.30365,4019
74,1.48,523.186096,4019
75,1.5,531.179321,4019
76,1.52,538.748718,4019
77,1.54,544.82428,4019
78,1.56,548.901733,4019
79,1.58,552.934326,4019
80,1.6,554.366821,4019
81,1.62,555.67572,4019
82,1.64,555.927979,4019
83,1.66,555.315186,4019
84,1.68,554.88830599999994,4019
85,1.7,554.924866,4019
86,1.72,555.181824,4019
87,1.74,555.697998,4019
88,1.76,559.595581,4019
89,1.78,565.088379,4019
90,1.8,570.432251,4019
91,1.82,575.327637,4019
92,1.84,579.239685,4019
93,1.86,583.004028,4019
94,1.88,586.892334,4019
95,1.9,591.945251,4019
96,1.92,596.384155,4019
97,1.94,600.845764,4019
98,1.96,605.39624,4019
99,1.98,609.177307,4019
100,2,611.761414,4019
101,2.02,615.624268,4019
102,2.04,618.38385,4019
103,2.06,621.158936,4019
104,2.08,622.811401,4019
105,2.1,625.635681,4019
106,2.12,627.533997,4019
107,2.14,630.48761,4019
108,2.16,633.379089,4019
109,2.18,636.118042,4019
110,2.2,638.479492,4019
111,2.22,640.893555,4019
112,2.24,642.773132,4019
113,2.26,644.507629,4019
114,2.28,646.090637,4019
115,2.3,647.904663,4019
116,2.32,648.929138,4019
117,2.34,650.332214,4019
118,2.36,651.139099,4019
119,2.38,651.592163,4019
120,2.4,652.828857,4019
121,2.42,653.91925,4019
122,2.44,655.114136,4019
123,2.46,656.248962,4019
124,2.48,657.678833,4019
125,2.5,658.684021,4019
126,2.52,660.092407,4019
127,2.54,661.16925,4019
128,2.56,661.770508,4019
129,2.58,662.186279,4019
130,2.6,662.866455,4019
131,2.62,662.947449,4019
132,2.64,663.34606900000006,4019
133,2.66,663.239868,4019
134,2.68,662.965088,4019
135,2.7,662.512878,4019
136,2.72,662.526489,4019
137,2.74,662.654846,4019
138,2.76,663.263916,4019
139,2.78,664.038147,4019
140,2.8,664.591675,4019
141,2.82,665.400635,4019
142,2.84,666.244202,4019
143,2.86,667.464111,4019
144,2.88,668.994385,4019
145,2.9,669.588928,4019
