Frame,Time_Seconds,CGY,ID
1,0.02,715.532227,4037
2,0.04,715.143311,4037
3,0.06,715.252075,4037
4,0.08,715.91626,4037
5,0.1,717.318481,4037
6,0.12,718.432983,4037
7,0.14,719.664795,4037
8,0.16,720.315735,4037
9,0.18,720.612122,4037
10,0.2,720.584717,4037
11,0.22,720.699829,4037
12,0.24,721.275085,4037
13,0.26,722.417908,4037
14,0.28,722.864746,4037
15,0.3,723.401306,4037
16,0.32,723.884216,4037
17,0.34,724.675171,4037
18,0.36,725.586731,4037
19,0.38,726.974609,4037
20,0.4,728.255859,4037
21,0.42,728.498474,4037
22,0.44,729.025818,4037
23,0.46,729.77063,4037
24,0.48,729.910889,4037
25,0.5,729.139343,4037
26,0.52,728.832153,4037
27,0.54,728.121582,4037
28,0.56,724.310913,4037
29,0.58,719.522217,4037
30,0.6,713.359131,4037
31,0.62,704.36377,4037
32,0.64,695.242554,4037
33,0.66,683.101685,4037
34,0.68,670.904236,4037
35,0.7,653.874146,4037
36,0.72,636.364563,4037
37,0.74,617.980469,4037
38,0.76,598.704956,4037
39,0.78,580.503784,4037
40,0.8,561.322754,4037
41,0.82,541.149536,4037
42,0.84,522.357727,4037
43,0.86,504.436676,4037
44,0.88,491.389893,4037
45,0.9,480.609741,4037
46,0.92,475.881744,4037
47,0.94,472.460999,4037
48,0.96,473.261261,4037
49,0.98,477.407257,4037
50,1,480.553558,4037
51,1.02,487.742584,4037
52,1.04,498.591187,4037
53,1.06,512.913818,4037
54,1.08,529.938171,4037
55,1.1,553.319458,4037
56,1.12,577.457214,4037
57,1.14,601.127014,4037
58,1.16,628.264832,4037
59,1.18,654.462769,4037
60,1.2,676.296204,4037
61,1.22,695.466797,4037
62,1.24,707.986938,4037
63,1.26,717.28833,4037
64,1.28,724.947083,4037
65,1.3,729.189209,4037
66,1.32,730.496826,4037
67,1.34,730.290527,4037
68,1.36,727.970215,4037
69,1.38,720.497375,4037
70,1.4,708.533997,4037
71,1.42,691.574097,4037
72,1.44,669.469971,4037
73,1.46,645.677734,4037
74,1.48,617.239746,4037
75,1.5,584.315613,4037
76,1.52,546.367981,4037
77,1.54,503.898865,4037
78,1.56,473.981262,4037
79,1.58,452.708771,4037
80,1.6,439.52774,4037
81,1.62,433.009216,4037
82,1.64,437.371185,4037
83,1.66,445.197632,4037
84,1.68,456.974518,4037
85,1.7,468.663513,4037
86,1.72,479.936646,4037
87,1.74,495.143036,4037
88,1.76,507.388855,4037
89,1.78,520.262573,4037
90,1.8,534.4422,4037
91,1.82,547.422974,4037
92,1.84,563.131775,4037
93,1.86,578.793945,4037
94,1.88,599.199402,4037
95,1.9,618.909119,4037
96,1.92,638.765442,4037
97,1.94,658.271179,4037
98,1.96,675.054871,4037
99,1.98,688.768066,4037
100,2,698.843689,4037
101,2.02,705.124023,4037
102,2.04,705.255188,4037
103,2.06,701.859924,4037
104,2.08,694.177429,4037
105,2.1,680.830627,4037
106,2.12,664.764771,4037
107,2.14,646.864746,4037
108,2.16,628.933899,4037
109,2.18,616.507324,4037
110,2.2,609.542114,4037
111,2.22,607.859497,4037
112,2.24,610.059326,4037
113,2.26,614.618835,4037
114,2.28,620.305603,4037
115,2.3,628.003357,4037
116,2.32,637.990662,4037
117,2.34,645.32959,4037
118,2.36,652.909485,4037
119,2.38,659.301514,4037
120,2.4,665.797607,4037
121,2.42,670.56897,4037
122,2.44,674.796326,4037
123,2.46,678.894653,4037
124,2.48,682.943298,4037
125,2.5,687.590698,4037
126,2.52,691.627014,4037
127,2.54,695.399475,4037
128,2.56,698.30719,4037
129,2.58,700.080872,4037
130,2.6,701.155457,4037
131,2.62,700.971252,4037
132,2.64,700.227173,4037
133,2.66,699.676758,4037
134,2.68,699.91687,4037
135,2.7,700.537781,4037
136,2.72,701.286987,4037
137,2.74,702.295227,4037
138,2.76,703.03125,4037
139,2.78,703.570618,4037
140,2.8,703.855957,4037
141,2.82,703.597839,4037
142,2.84,703.546692,4037
143,2.86,703.48291,4037
144,2.88,703.392334,4037
145,2.9,703.174622,4037
146,2.92,702.708069,4037
147,2.94,701.946106,4037
148,2.96,701.099976,4037
149,2.98,699.831055,4037
150,3,698.49115,4037
151,3.02,697.383972,4037
152,3.04,696.695923,4037
