Frame,Time_Seconds,CGY,ID
1,0.02,718.891113,4007
2,0.04,718.831238,4007
3,0.06,718.748962,4007
4,0.08,718.620728,4007
5,0.1,718.524109,4007
6,0.12,718.403076,4007
7,0.14,718.381653,4007
8,0.16,718.396118,4007
9,0.18,718.357178,4007
10,0.2,718.409851,4007
11,0.22,718.484619,4007
12,0.24,718.631042,4007
13,0.26,718.6922,4007
14,0.28,718.597595,4007
15,0.3,718.583679,4007
16,0.32,718.05011,4007
17,0.34,717.39502,4007
18,0.36,716.477051,4007
19,0.38,714.305786,4007
20,0.4,711.746643,4007
21,0.42,707.474121,4007
22,0.44,702.47052,4007
23,0.46,697.005737,4007
24,0.48,691.43396,4007
25,0.5,684.691956,4007
26,0.52,675.792725,4007
27,0.54,665.888428,4007
28,0.56,658.528992,4007
29,0.58,648.900391,4007
30,0.6,637.365906,4007
31,0.62,622.78363,4007
32,0.64,606.233887,4007
33,0.66,590.171936,4007
34,0.68,573.352783,4007
35,0.7,558.174988,4007
36,0.72,543.414185,4007
37,0.74,531.106628,4007
38,0.76,526.488708,4007
39,0.78,521.546509,4007
40,0.8,520.400879,4007
41,0.82,523.358704,4007
42,0.84,529.872925,4007
43,0.86,540.14032,4007
44,0.88,554.377808,4007
45,0.9,570.178955,4007
46,0.92,588.489441,4007
47,0.94,610.746216,4007
48,0.96,630.170227,4007
49,0.98,652.577454,4007
50,1,676.026123,4007
51,1.02,702.878723,4007
52,1.04,726.909241,4007
53,1.06,744.621582,4007
54,1.08,757.50116,4007
55,1.1,770.447449,4007
56,1.12,777.61169400000006,4007
57,1.14,778.022095,4007
58,1.16,778.427368,4007
59,1.18,772.375,4007
60,1.2,764.795898,4007
61,1.22,752.563782,4007
62,1.24,737.03302,4007
63,1.26,718.259949,4007
64,1.28,695.121887,4007
65,1.3,665.636169,4007
66,1.32,633.121338,4007
67,1.34,609.827148,4007
68,1.36,591.610291,4007
69,1.38,578.208618,4007
70,1.4,574.077881,4007
71,1.42,574.143677,4007
72,1.44,577.79126,4007
73,1.46,582.611511,4007
74,1.48,589.71106,4007
75,1.5,597.79187,4007
76,1.52,606.96405,4007
77,1.54,617.156189,4007
78,1.56,626.643555,4007
79,1.58,637.322571,4007
80,1.6,647.659119,4007
81,1.62,657.085266,4007
82,1.64,665.167419,4007
83,1.66,674.011963,4007
84,1.68,682.521484,4007
85,1.7,689.802734,4007
86,1.72,697.36322,4007
87,1.74,702.511353,4007
88,1.76,706.671143,4007
89,1.78,708.955505,4007
90,1.8,710.701538,4007
91,1.82,712.018677,4007
92,1.84,713.257141,4007
93,1.86,714.264587,4007
94,1.88,715.822998,4007
95,1.9,717.060303,4007
96,1.92,719.257629,4007
97,1.94,720.51709,4007
98,1.96,721.789856,4007
99,1.98,723.057861,4007
100,2,724.791931,4007
101,2.02,726.108093,4007
102,2.04,727.23669400000006,4007
103,2.06,728.294861,4007
104,2.08,728.57959,4007
105,2.1,729.089294,4007
106,2.12,729.587036,4007
107,2.14,730.103882,4007
108,2.16,730.37793,4007
109,2.18,730.399719,4007
110,2.2,730.446045,4007
111,2.22,730.742798,4007
112,2.24,731.142334,4007
113,2.26,731.469604,4007
114,2.28,731.828003,4007
115,2.3,732.251526,4007
