Frame,Time_Seconds,CGY,ID
1,0.02,690.068176,4018
2,0.04,688.602295,4018
3,0.06,687.471863,4018
4,0.08,686.378418,4018
5,0.1,684.993164,4018
6,0.12,684.086548,4018
7,0.14,683.260071,4018
8,0.16,682.489441,4018
9,0.18,681.103455,4018
10,0.2,679.155762,4018
11,0.22,676.376648,4018
12,0.24,673.89624,4018
13,0.26,671.065613,4018
14,0.28,668.075623,4018
15,0.3,664.258728,4018
16,0.32,660.20874,4018
17,0.34,657.904114,4018
18,0.36,655.115356,4018
19,0.38,652.317383,4018
20,0.4,650.08429,4018
21,0.42,648.49054,4018
22,0.44,646.583557,4018
23,0.46,644.198303,4018
24,0.48,642.516357,4018
25,0.5,640.121399,4018
26,0.52,637.653137,4018
27,0.54,635.447571,4018
28,0.56,633.513733,4018
29,0.58,631.260559,4018
30,0.6,628.910095,4018
31,0.62,626.602722,4018
32,0.64,624.410889,4018
33,0.66,621.594849,4018
34,0.68,619.657898,4018
35,0.7,617.425903,4018
36,0.72,614.501587,4018
37,0.74,611.53717,4018
38,0.76,607.312012,4018
39,0.78,602.669189,4018
40,0.8,596.497925,4018
41,0.82,588.61792,4018
42,0.84,578.78064,4018
43,0.86,568.420471,4018
44,0.88,554.869019,4018
45,0.9,541.75231900000006,4018
46,0.92,527.657837,4018
47,0.94,513.194275,4018
48,0.96,496.699371,4018
49,0.98,482.002899,4018
50,1,467.487518,4018
51,1.02,453.591156,4018
52,1.04,440.587494,4018
53,1.06,429.775726,4018
54,1.08,419.390228,4018
55,1.1,406.773468,4018
56,1.12,398.707855,4018
57,1.14,393.903046,4018
58,1.16,389.342041,4018
59,1.18,385.750732,4018
60,1.2,383.667053,4018
61,1.22,383.867615,4018
62,1.24,385.943542,4018
63,1.26,391.393311,4018
64,1.28,399.24823,4018
65,1.3,407.426147,4018
66,1.32,417.188843,4018
67,1.34,430.99102799999997,4018
68,1.36,448.071411,4018
69,1.38,467.982452,4018
70,1.4,490.224548,4018
71,1.42,514.456787,4018
72,1.44,540.943481,4018
73,1.46,569.932922,4018
74,1.48,604.231018,4018
75,1.5,635.29248,4018
76,1.52,663.301514,4018
77,1.54,686.908081,4018
78,1.56,711.063599,4018
79,1.58,729.586853,4018
80,1.6,741.309143,4018
81,1.62,750.268616,4018
82,1.64,752.943726,4018
83,1.66,748.920471,4018
84,1.68,739.95343,4018
85,1.7,727.399536,4018
86,1.72,710.097107,4018
87,1.74,692.235901,4018
88,1.76,670.171692,4018
89,1.78,648.935608,4018
90,1.8,621.034485,4018
91,1.82,593.998108,4018
92,1.84,565.240173,4018
93,1.86,542.591614,4018
94,1.88,521.915222,4018
95,1.9,508.494232,4018
96,1.92,498.241089,4018
97,1.94,497.059906,4018
98,1.96,500.618927,4018
99,1.98,506.109711,4018
100,2,517.265564,4018
101,2.02,535.581299,4018
102,2.04,560.33197,4018
103,2.06,591.046814,4018
104,2.08,620.763123,4018
105,2.1,651.310608,4018
106,2.12,682.010681,4018
107,2.14,709.268188,4018
108,2.16,734.590576,4018
109,2.18,757.496521,4018
110,2.2,774.724548,4018
111,2.22,786.348267,4018
