Frame,Time_Seconds,CGY
1,0.02,690.068176
2,0.04,688.602295
3,0.06,687.471863
4,0.08,686.378418
5,0.1,684.993164
6,0.12,684.086548
7,0.14,683.260071
8,0.16,682.489441
9,0.18,681.103455
10,0.2,679.155762
11,0.22,676.376648
12,0.24,673.89624
13,0.26,671.065613
14,0.28,668.075623
15,0.3,664.258728
16,0.32,660.20874
17,0.34,657.904114
18,0.36,655.115356
19,0.38,652.317383
20,0.4,650.08429
21,0.42,648.49054
22,0.44,646.583557
23,0.46,644.198303
24,0.48,642.516357
25,0.5,640.121399
26,0.52,637.653137
27,0.54,635.447571
28,0.56,633.513733
29,0.58,631.260559
30,0.6,628.910095
31,0.62,626.602722
32,0.64,624.410889
33,0.66,621.594849
34,0.68,619.657898
35,0.7,617.425903
36,0.72,614.501587
37,0.74,611.53717
38,0.76,607.312012
39,0.78,602.669189
40,0.8,596.497925
41,0.82,588.61792
42,0.84,578.78064
43,0.86,568.420471
44,0.88,554.869019
45,0.9,541.75231900000006
46,0.92,527.657837
47,0.94,513.194275
48,0.96,496.699371
49,0.98,482.002899
50,1,467.487518
51,1.02,453.591156
52,1.04,440.587494
53,1.06,429.775726
54,1.08,419.390228
55,1.1,406.773468
56,1.12,398.707855
57,1.14,393.903046
58,1.16,389.342041
59,1.18,385.750732
60,1.2,383.667053
61,1.22,383.867615
62,1.24,385.943542
63,1.26,391.393311
64,1.28,399.24823
65,1.3,407.426147
66,1.32,417.188843
67,1.34,430.99102799999997
68,1.36,448.071411
69,1.38,467.982452
70,1.4,490.224548
71,1.42,514.456787
72,1.44,540.943481
73,1.46,569.932922
74,1.48,604.231018
75,1.5,635.29248
76,1.52,663.301514
77,1.54,686.908081
78,1.56,711.063599
79,1.58,729.586853
80,1.6,741.309143
81,1.62,750.268616
82,1.64,752.943726
83,1.66,748.920471
84,1.68,739.95343
85,1.7,727.399536
86,1.72,710.097107
87,1.74,692.235901
88,1.76,670.171692
89,1.78,648.935608
90,1.8,621.034485
91,1.82,593.998108
92,1.84,565.240173
93,1.86,542.591614
94,1.88,521.915222
95,1.9,508.494232
96,1.92,498.241089
97,1.94,497.059906
98,1.96,500.618927
99,1.98,506.109711
100,2,517.265564
101,2.02,535.581299
102,2.04,560.33197
103,2.06,591.046814
104,2.08,620.763123
105,2.1,651.310608
106,2.12,682.010681
107,2.14,709.268188
108,2.16,734.590576
109,2.18,757.496521
110,2.2,774.724548
111,2.22,786.348267
