Frame,Time_Seconds,CGY
1,0.02,670.543884
2,0.04,670.072266
3,0.06,669.565491
4,0.08,668.880798
5,0.1,668.600525
6,0.12,668.490601
7,0.14,668.624512
8,0.16,668.823669
9,0.18,668.985229
10,0.2,669.188721
11,0.22,669.384766
12,0.24,669.390991
13,0.26,669.555664
14,0.28,669.679138
15,0.3,669.828491
16,0.32,670.01825
17,0.34,670.195984
18,0.36,670.500977
19,0.38,670.740051
20,0.4,671.034058
21,0.42,671.145508
22,0.44,671.265686
23,0.46,671.266052
24,0.48,671.169678
25,0.5,671.08044400000006
26,0.52,670.926514
27,0.54,670.68512
28,0.56,670.39917
29,0.58,670.046753
30,0.6,669.589539
31,0.62,669.213318
32,0.64,668.52179
33,0.66,668.081848
34,0.68,667.722778
35,0.7,667.15448
36,0.72,666.696289
37,0.74,666.297791
38,0.76,665.831421
39,0.78,665.313904
40,0.8,664.794006
41,0.82,664.007996
42,0.84,663.311096
43,0.86,662.423828
44,0.88,661.512573
45,0.9,660.703247
46,0.92,659.870605
47,0.94,658.671265
48,0.96,657.566895
49,0.98,656.588989
50,1,655.131165
51,1.02,653.59375
52,1.04,651.569763
53,1.06,649.29834
54,1.08,646.115234
55,1.1,642.292847
56,1.12,638.7323
57,1.14,634.433289
58,1.16,629.477661
59,1.18,625.486267
60,1.2,620.539124
61,1.22,614.521912
62,1.24,607.740662
63,1.26,601.317688
64,1.28,594.766907
65,1.3,586.354736
66,1.32,577.896667
67,1.34,568.470337
68,1.36,557.372498
69,1.38,546.726318
70,1.4,537.171509
71,1.42,526.933594
72,1.44,516.803833
73,1.46,508.346313
74,1.48,502.129364
75,1.5,497.210388
76,1.52,493.246765
77,1.54,492.484375
78,1.56,493.981598
79,1.58,496.557159
80,1.6,500.86834700000003
81,1.62,506.400879
82,1.64,514.800598
83,1.66,524.552124
84,1.68,535.361633
85,1.7,546.93573
86,1.72,560.06012
87,1.74,574.658203
88,1.76,591.401489
89,1.78,606.988464
90,1.8,622.396545
91,1.82,640.478821
92,1.84,659.786743
93,1.86,679.750183
94,1.88,696.85083
95,1.9,710.301147
96,1.92,719.475647
97,1.94,726.367737
98,1.96,728.699219
99,1.98,727.299988
100,2,719.447937
101,2.02,710.006836
102,2.04,693.12738
103,2.06,671.811951
104,2.08,652.041199
105,2.1,635.249268
106,2.12,624.687927
107,2.14,620.35199
108,2.16,615.055847
109,2.18,610.585083
110,2.2,607.512756
111,2.22,605.51825
112,2.24,608.132812
113,2.26,612.211731
114,2.28,618.179993
115,2.3,625.436768
116,2.32,635.128845
117,2.34,645.225098
118,2.36,655.994812
119,2.38,666.046448
120,2.4,674.887695
121,2.42,682.92419400000006
122,2.44,689.004211
123,2.46,692.25647
