Frame,Time_Seconds,CGY
1,0.02,692.698303
2,0.04,692.459656
3,0.06,692.005066
4,0.08,691.143921
5,0.1,690.598145
6,0.12,689.926819
7,0.14,689.040527
8,0.16,688.179504
9,0.18,687.238708
10,0.2,686.640625
11,0.22,685.730835
12,0.24,683.371643
13,0.26,680.597168
14,0.28,677.060425
15,0.3,671.931091
16,0.32,667.114929
17,0.34,662.21051
18,0.36,654.907288
19,0.38,647.488708
20,0.4,640.226501
21,0.42,632.336243
22,0.44,622.344238
23,0.46,609.492798
24,0.48,597.358826
25,0.5,582.668457
26,0.52,566.654602
27,0.54,553.115967
28,0.56,540.90155
29,0.58,534.689209
30,0.6,526.659912
31,0.62,527.524658
32,0.64,533.594727
33,0.66,539.432434
34,0.68,550.243164
35,0.7,559.028381
36,0.72,572.920776
37,0.74,592.773865
38,0.76,615.65332
39,0.78,635.906067
40,0.8,660.709473
41,0.82,685.111938
42,0.84,707.439453
43,0.86,729.486511
44,0.88,743.154236
45,0.9,754.867004
46,0.92,764.077271
47,0.94,767.465271
48,0.96,766.069702
49,0.98,760.201965
50,1,751.090149
51,1.02,738.82580599999994
52,1.04,723.599915
53,1.06,703.193176
54,1.08,679.024048
55,1.1,649.659363
56,1.12,617.559143
57,1.14,580.33551
58,1.16,544.646362
59,1.18,515.703552
60,1.2,495.829956
61,1.22,479.839966
62,1.24,467.877716
63,1.26,461.933228
64,1.28,459.382843
65,1.3,458.011902
66,1.32,456.976807
67,1.34,458.89856
68,1.36,463.563202
69,1.38,472.589752
70,1.4,483.457611
71,1.42,493.680603
72,1.44,505.035858
73,1.46,514.30365
74,1.48,523.186096
75,1.5,531.179321
76,1.52,538.748718
77,1.54,544.82428
78,1.56,548.901733
79,1.58,552.934326
80,1.6,554.366821
81,1.62,555.67572
82,1.64,555.927979
83,1.66,555.315186
84,1.68,554.88830599999994
85,1.7,554.924866
86,1.72,555.181824
87,1.74,555.697998
88,1.76,559.595581
89,1.78,565.088379
90,1.8,570.432251
91,1.82,575.327637
92,1.84,579.239685
93,1.86,583.004028
94,1.88,586.892334
95,1.9,591.945251
96,1.92,596.384155
97,1.94,600.845764
98,1.96,605.39624
99,1.98,609.177307
100,2,611.761414
101,2.02,615.624268
102,2.04,618.38385
103,2.06,621.158936
104,2.08,622.811401
105,2.1,625.635681
106,2.12,627.533997
107,2.14,630.48761
108,2.16,633.379089
109,2.18,636.118042
110,2.2,638.479492
111,2.22,640.893555
112,2.24,642.773132
113,2.26,644.507629
114,2.28,646.090637
115,2.3,647.904663
116,2.32,648.929138
117,2.34,650.332214
118,2.36,651.139099
119,2.38,651.592163
120,2.4,652.828857
121,2.42,653.91925
122,2.44,655.114136
123,2.46,656.248962
124,2.48,657.678833
125,2.5,658.684021
126,2.52,660.092407
127,2.54,661.16925
128,2.56,661.770508
129,2.58,662.186279
130,2.6,662.866455
131,2.62,662.947449
132,2.64,663.34606900000006
133,2.66,663.239868
134,2.68,662.965088
135,2.7,662.512878
136,2.72,662.526489
137,2.74,662.654846
138,2.76,663.263916
139,2.78,664.038147
140,2.8,664.591675
141,2.82,665.400635
142,2.84,666.244202
143,2.86,667.464111
144,2.88,668.994385
145,2.9,669.588928
