Frame,Time_Seconds,CGY
1,0.02,715.660522
2,0.04,714.859009
3,0.06,714.012024
4,0.08,712.990784
5,0.1,711.753601
6,0.12,710.610535
7,0.14,708.99707
8,0.16,707.194458
9,0.18,705.030579
10,0.2,702.544617
11,0.22,699.643616
12,0.24,696.207153
13,0.26,694.534729
14,0.28,691.855103
15,0.3,688.154968
16,0.32,683.260193
17,0.34,677.777344
18,0.36,671.082581
19,0.38,663.732117
20,0.4,654.413391
21,0.42,643.182312
22,0.44,630.446594
23,0.46,615.610901
24,0.48,600.457458
25,0.5,583.37384
26,0.52,566.230591
27,0.54,550.666687
28,0.56,535.389099
29,0.58,522.276917
30,0.6,510.910309
31,0.62,502.102448
32,0.64,497.13205
33,0.66,493.827271
34,0.68,492.272369
35,0.7,491.95105
36,0.72,493.05365
37,0.74,496.664703
38,0.76,501.266602
39,0.78,508.424988
40,0.8,516.874634
41,0.82,529.435425
42,0.84,541.586487
43,0.86,556.335327
44,0.88,574.372437
45,0.9,594.976807
46,0.92,616.195923
47,0.94,639.984741
48,0.96,666.825134
49,0.98,691.550659
50,1,715.854248
51,1.02,737.898315
52,1.04,758.7146
53,1.06,775.098816
54,1.08,785.847595
55,1.1,793.751099
56,1.12,796.602905
57,1.14,796.24762
58,1.16,793.228088
59,1.18,784.825928
60,1.2,771.34143099999994
61,1.22,753.164795
62,1.24,731.217468
63,1.26,706.188965
64,1.28,673.630981
65,1.3,647.948669
66,1.32,630.233398
67,1.34,619.261719
68,1.36,614.093689
69,1.38,612.110229
70,1.4,613.045166
71,1.42,616.827332
72,1.44,623.67572
73,1.46,632.542969
74,1.48,640.660889
75,1.5,648.788757
76,1.52,655.510498
77,1.54,660.498291
78,1.56,664.478088
79,1.58,667.689453
80,1.6,669.072388
81,1.62,668.983337
82,1.64,667.6651
83,1.66,666.197571
84,1.68,664.297607
85,1.7,663.05481
86,1.72,661.873718
87,1.74,661.95080599999994
88,1.76,663.559082
89,1.78,666.552734
90,1.8,670.260986
91,1.82,674.267883
92,1.84,678.059509
93,1.86,682.23291
94,1.88,687.015869
95,1.9,690.615112
96,1.92,693.53949
97,1.94,696.272095
98,1.96,697.761902
99,1.98,698.90155
100,2,700.25177
101,2.02,700.541748
102,2.04,701.253967
103,2.06,702.602112
104,2.08,704.135986
105,2.1,705.610229
106,2.12,706.869446
107,2.14,708.643372
108,2.16,711.397034
109,2.18,713.58606
110,2.2,715.869629
111,2.22,717.817139
112,2.24,719.757141
113,2.26,721.439392
114,2.28,722.603516
115,2.3,723.647095
116,2.32,724.13855
117,2.34,724.58905
118,2.36,724.90625
119,2.38,725.06958
120,2.4,725.044861
121,2.42,724.891846
122,2.44,724.763611
123,2.46,724.65094
124,2.48,724.542358
125,2.5,724.459106
