Frame,Time_Seconds,CGY
1,0.02,591.902954
2,0.04,587.010254
3,0.06,581.800842
4,0.08,577.437439
5,0.1,572.464722
6,0.12,567.232178
7,0.14,561.548157
8,0.16,555.514771
9,0.18,549.152832
10,0.2,541.688538
11,0.22,534.675232
12,0.24,527.297363
13,0.26,518.59845
14,0.28,511.97879
15,0.3,503.83075
16,0.32,498.350647
17,0.34,493.490601
18,0.36,489.53790299999997
19,0.38,489.897095
20,0.4,489.830475
21,0.42,490.110229
22,0.44,491.65451
23,0.46,496.054901
24,0.48,506.456512
25,0.5,520.984924
26,0.52,536.849731
27,0.54,555.856323
28,0.56,576.465576
29,0.58,598.89801
30,0.6,619.780457
31,0.62,636.894409
32,0.64,651.891479
33,0.66,660.703308
34,0.68,667.962402
35,0.7,675.367065
36,0.72,679.853638
37,0.74,679.973083
38,0.76,672.724976
39,0.78,662.563232
40,0.8,647.983826
41,0.82,626.327271
42,0.84,599.926331
43,0.86,567.365784
44,0.88,539.144531
45,0.9,519.001038
46,0.92,508.920776
47,0.94,506.279999
48,0.96,508.848053
49,0.98,513.81427
50,1,521.422607
51,1.02,529.281799
52,1.04,537.905518
53,1.06,545.843201
54,1.08,553.987366
55,1.1,561.299377
56,1.12,568.643982
57,1.14,575.48669400000006
58,1.16,582.335938
59,1.18,588.876343
60,1.2,594.622803
61,1.22,599.648193
62,1.24,604.504211
63,1.26,609.75647
64,1.28,612.457642
65,1.3,614.813843
66,1.32,616.791809
67,1.34,617.324097
68,1.36,618.157288
69,1.38,618.85437
70,1.4,619.0401
71,1.42,619.001831
72,1.44,619.328796
73,1.46,619.631104
74,1.48,619.881653
75,1.5,620.085571
76,1.52,620.358459
77,1.54,620.699768
78,1.56,621.123779
79,1.58,621.39032
80,1.6,621.993652
81,1.62,622.32019
82,1.64,622.937378
83,1.66,623.96283
84,1.68,624.595703
85,1.7,625.499878
86,1.72,626.350342
87,1.74,627.217102
88,1.76,628.02179
89,1.78,628.697205
