Frame,Time_Seconds,CGY
1,0.02,715.532227
2,0.04,715.143311
3,0.06,715.252075
4,0.08,715.91626
5,0.1,717.318481
6,0.12,718.432983
7,0.14,719.664795
8,0.16,720.315735
9,0.18,720.612122
10,0.2,720.584717
11,0.22,720.699829
12,0.24,721.275085
13,0.26,722.417908
14,0.28,722.864746
15,0.3,723.401306
16,0.32,723.884216
17,0.34,724.675171
18,0.36,725.586731
19,0.38,726.974609
20,0.4,728.255859
21,0.42,728.498474
22,0.44,729.025818
23,0.46,729.77063
24,0.48,729.910889
25,0.5,729.139343
26,0.52,728.832153
27,0.54,728.121582
28,0.56,724.310913
29,0.58,719.522217
30,0.6,713.359131
31,0.62,704.36377
32,0.64,695.242554
33,0.66,683.101685
34,0.68,670.904236
35,0.7,653.874146
36,0.72,636.364563
37,0.74,617.980469
38,0.76,598.704956
39,0.78,580.503784
40,0.8,561.322754
41,0.82,541.149536
42,0.84,522.357727
43,0.86,504.436676
44,0.88,491.389893
45,0.9,480.609741
46,0.92,475.881744
47,0.94,472.460999
48,0.96,473.261261
49,0.98,477.407257
50,1,480.553558
51,1.02,487.742584
52,1.04,498.591187
53,1.06,512.913818
54,1.08,529.938171
55,1.1,553.319458
56,1.12,577.457214
57,1.14,601.127014
58,1.16,628.264832
59,1.18,654.462769
60,1.2,676.296204
61,1.22,695.466797
62,1.24,707.986938
63,1.26,717.28833
64,1.28,724.947083
65,1.3,729.189209
66,1.32,730.496826
67,1.34,730.290527
68,1.36,727.970215
69,1.38,720.497375
70,1.4,708.533997
71,1.42,691.574097
72,1.44,669.469971
73,1.46,645.677734
74,1.48,617.239746
75,1.5,584.315613
76,1.52,546.367981
77,1.54,503.898865
78,1.56,473.981262
79,1.58,452.708771
80,1.6,439.52774
81,1.62,433.009216
82,1.64,437.371185
83,1.66,445.197632
84,1.68,456.974518
85,1.7,468.663513
86,1.72,479.936646
87,1.74,495.143036
88,1.76,507.388855
89,1.78,520.262573
90,1.8,534.4422
91,1.82,547.422974
92,1.84,563.131775
93,1.86,578.793945
94,1.88,599.199402
95,1.9,618.909119
96,1.92,638.765442
97,1.94,658.271179
98,1.96,675.054871
99,1.98,688.768066
100,2,698.843689
101,2.02,705.124023
102,2.04,705.255188
103,2.06,701.859924
104,2.08,694.177429
105,2.1,680.830627
106,2.12,664.764771
107,2.14,646.864746
108,2.16,628.933899
109,2.18,616.507324
110,2.2,609.542114
111,2.22,607.859497
112,2.24,610.059326
113,2.26,614.618835
114,2.28,620.305603
115,2.3,628.003357
116,2.32,637.990662
117,2.34,645.32959
118,2.36,652.909485
119,2.38,659.301514
120,2.4,665.797607
121,2.42,670.56897
122,2.44,674.796326
123,2.46,678.894653
124,2.48,682.943298
125,2.5,687.590698
126,2.52,691.627014
127,2.54,695.399475
128,2.56,698.30719
129,2.58,700.080872
130,2.6,701.155457
131,2.62,700.971252
132,2.64,700.227173
133,2.66,699.676758
134,2.68,699.91687
135,2.7,700.537781
136,2.72,701.286987
137,2.74,702.295227
138,2.76,703.03125
139,2.78,703.570618
140,2.8,703.855957
141,2.82,703.597839
142,2.84,703.546692
143,2.86,703.48291
144,2.88,703.392334
145,2.9,703.174622
146,2.92,702.708069
147,2.94,701.946106
148,2.96,701.099976
149,2.98,699.831055
150,3,698.49115
151,3.02,697.383972
152,3.04,696.695923
