Frame,Time_Seconds,CGY
1,0.02,718.891113
2,0.04,718.831238
3,0.06,718.748962
4,0.08,718.620728
5,0.1,718.524109
6,0.12,718.403076
7,0.14,718.381653
8,0.16,718.396118
9,0.18,718.357178
10,0.2,718.409851
11,0.22,718.484619
12,0.24,718.631042
13,0.26,718.6922
14,0.28,718.597595
15,0.3,718.583679
16,0.32,718.05011
17,0.34,717.39502
18,0.36,716.477051
19,0.38,714.305786
20,0.4,711.746643
21,0.42,707.474121
22,0.44,702.47052
23,0.46,697.005737
24,0.48,691.43396
25,0.5,684.691956
26,0.52,675.792725
27,0.54,665.888428
28,0.56,658.528992
29,0.58,648.900391
30,0.6,637.365906
31,0.62,622.78363
32,0.64,606.233887
33,0.66,590.171936
34,0.68,573.352783
35,0.7,558.174988
36,0.72,543.414185
37,0.74,531.106628
38,0.76,526.488708
39,0.78,521.546509
40,0.8,520.400879
41,0.82,523.358704
42,0.84,529.872925
43,0.86,540.14032
44,0.88,554.377808
45,0.9,570.178955
46,0.92,588.489441
47,0.94,610.746216
48,0.96,630.170227
49,0.98,652.577454
50,1,676.026123
51,1.02,702.878723
52,1.04,726.909241
53,1.06,744.621582
54,1.08,757.50116
55,1.1,770.447449
56,1.12,777.61169400000006
57,1.14,778.022095
58,1.16,778.427368
59,1.18,772.375
60,1.2,764.795898
61,1.22,752.563782
62,1.24,737.03302
63,1.26,718.259949
64,1.28,695.121887
65,1.3,665.636169
66,1.32,633.121338
67,1.34,609.827148
68,1.36,591.610291
69,1.38,578.208618
70,1.4,574.077881
71,1.42,574.143677
72,1.44,577.79126
73,1.46,582.611511
74,1.48,589.71106
75,1.5,597.79187
76,1.52,606.96405
77,1.54,617.156189
78,1.56,626.643555
79,1.58,637.322571
80,1.6,647.659119
81,1.62,657.085266
82,1.64,665.167419
83,1.66,674.011963
84,1.68,682.521484
85,1.7,689.802734
86,1.72,697.36322
87,1.74,702.511353
88,1.76,706.671143
89,1.78,708.955505
90,1.8,710.701538
91,1.82,712.018677
92,1.84,713.257141
93,1.86,714.264587
94,1.88,715.822998
95,1.9,717.060303
96,1.92,719.257629
97,1.94,720.51709
98,1.96,721.789856
99,1.98,723.057861
100,2,724.791931
101,2.02,726.108093
102,2.04,727.23669400000006
103,2.06,728.294861
104,2.08,728.57959
105,2.1,729.089294
106,2.12,729.587036
107,2.14,730.103882
108,2.16,730.37793
109,2.18,730.399719
110,2.2,730.446045
111,2.22,730.742798
112,2.24,731.142334
113,2.26,731.469604
114,2.28,731.828003
115,2.3,732.251526
