Frame,Time_Seconds,CGY
1,0.02,669.996826
2,0.04,668.530334
3,0.06,665.914917
4,0.08,662.632141
5,0.1,658.744202
6,0.12,653.940613
7,0.14,647.229736
8,0.16,638.009766
9,0.18,625.838013
10,0.2,611.893738
11,0.22,596.174133
12,0.24,583.361572
13,0.26,566.079041
14,0.28,547.711365
15,0.3,531.254944
16,0.32,515.913452
17,0.34,502.64209
18,0.36,498.082214
19,0.38,496.40506
20,0.4,498.810974
21,0.42,506.681183
22,0.44,516.92334
23,0.46,529.349487
24,0.48,546.850891
25,0.5,561.794434
26,0.52,579.595032
27,0.54,591.579163
28,0.56,614.093506
29,0.58,636.493774
30,0.6,656.576904
31,0.62,674.822876
32,0.64,686.139465
33,0.66,695.757751
34,0.68,698.164612
35,0.7,695.067017
36,0.72,688.686096
37,0.74,681.097046
38,0.76,670.394165
39,0.78,655.290833
40,0.8,636.914551
41,0.82,613.524292
42,0.84,583.904175
43,0.86,554.975159
44,0.88,530.031311
45,0.9,514.911621
46,0.92,507.781464
47,0.94,506.011536
48,0.96,506.326447
49,0.98,508.760315
50,1,512.659668
51,1.02,518.202698
52,1.04,524.798401
53,1.06,532.806702
54,1.08,543.613098
55,1.1,554.654541
56,1.12,565.47876
57,1.14,574.836853
58,1.16,584.181335
59,1.18,592.850769
60,1.2,600.292603
61,1.22,607.176086
62,1.24,612.534424
63,1.26,618.150696
64,1.28,621.955811
65,1.3,626.477478
66,1.32,629.126038
67,1.34,631.539673
68,1.36,633.140747
69,1.38,633.542725
70,1.4,634.006775
71,1.42,634.674744
72,1.44,635.263916
73,1.46,635.386169
74,1.48,635.574341
75,1.5,635.788391
76,1.52,635.842957
77,1.54,636.03772
78,1.56,636.500977
79,1.58,637.973206
80,1.6,638.810669
81,1.62,640.074463
82,1.64,641.463074
83,1.66,642.578369
84,1.68,643.354065
85,1.7,643.813965
86,1.72,644.238525
87,1.74,644.3927
