Frame,Time_Seconds,CGY
1,0.02,539.457703
2,0.04,523.89093
3,0.06,516.302673
4,0.08,509.153381
5,0.1,503.717651
6,0.12,505.469208
7,0.14,510.832275
8,0.16,519.694885
9,0.18,532.645508
10,0.2,547.749268
11,0.22,566.753113
12,0.24,587.238647
13,0.26,609.888855
14,0.28,634.053223
15,0.3,650.007507
16,0.32,660.090088
17,0.34,666.070007
18,0.36,668.390137
19,0.38,668.866516
20,0.4,666.021057
21,0.42,656.231445
22,0.44,644.863098
23,0.46,627.272461
24,0.48,607.363953
25,0.5,584.497314
26,0.52,567.02948
27,0.54,557.68396
28,0.56,551.190491
29,0.58,548.514709
30,0.6,548.488464
31,0.62,550.35498
32,0.64,552.226685
33,0.66,554.074036
34,0.68,555.941406
35,0.7,557.488831
36,0.72,558.587036
37,0.74,559.075623
38,0.76,558.913452
39,0.78,558.768066
40,0.8,557.604126
41,0.82,556.257935
42,0.84,554.629089
43,0.86,552.580383
44,0.88,550.386108
45,0.9,547.504517
46,0.92,543.412231
47,0.94,540.083313
48,0.96,536.314636
49,0.98,533.020386
50,1,528.896423
51,1.02,524.968933
52,1.04,521.766357
53,1.06,519.132019
54,1.08,516.780457
55,1.1,514.990234
56,1.12,512.892639
57,1.14,511.580292
58,1.16,510.259186
59,1.18,508.928345
60,1.2,507.09433
61,1.22,504.560364
62,1.24,500.620422
63,1.26,497.630768
64,1.28,496.241394
65,1.3,494.408081
66,1.32,492.865112
67,1.34,490.806244
68,1.36,488.725616
69,1.38,486.14743
70,1.4,482.971283
71,1.42,479.878906
72,1.44,475.872955
73,1.46,471.988281
74,1.48,469.514984
75,1.5,470.055023
76,1.52,471.714233
77,1.54,475.324341
78,1.56,482.206024
79,1.58,494.259613
80,1.6,510.064758
81,1.62,528.339355
82,1.64,550.778687
83,1.66,574.93457
84,1.68,601.230103
85,1.7,628.151489
86,1.72,654.027954
87,1.74,676.370911
88,1.76,695.55304
89,1.78,709.856201
90,1.8,719.576355
91,1.82,723.798584
92,1.84,724.432617
93,1.86,723.613281
94,1.88,716.60022
