Frame,Time_Seconds,CGY
1,0.02,636.750488
2,0.04,637.154663
3,0.06,639.860535
4,0.08,645.820251
5,0.1,652.070251
6,0.12,657.901245
7,0.14,663.60437
8,0.16,668.245728
9,0.18,673.702454
10,0.2,677.582092
11,0.22,680.397644
12,0.24,681.917725
13,0.26,682.473694
14,0.28,681.972961
15,0.3,680.854187
16,0.32,678.325134
17,0.34,675.554688
18,0.36,672.350159
19,0.38,669.109131
20,0.4,666.283997
21,0.42,663.295227
22,0.44,663.042969
23,0.46,663.999512
24,0.48,662.987915
25,0.5,663.324158
26,0.52,663.868469
27,0.54,666.402527
28,0.56,670.690369
29,0.58,672.016052
30,0.6,674.725037
31,0.62,677.828247
32,0.64,680.729431
33,0.66,683.557007
34,0.68,685.773743
35,0.7,687.475098
36,0.72,688.319763
37,0.74,688.028809
38,0.76,686.282593
39,0.78,682.339478
40,0.8,674.865234
41,0.82,668.666016
42,0.84,661.994568
43,0.86,653.832214
44,0.88,644.557861
45,0.9,636.156128
46,0.92,627.252563
47,0.94,615.896851
48,0.96,606.003174
49,0.98,595.476562
50,1,585.674805
51,1.02,574.580688
52,1.04,557.768127
53,1.06,544.241821
54,1.08,527.606323
55,1.1,512.216125
56,1.12,500.421722
57,1.14,494.259003
58,1.16,486.728455
59,1.18,481.171539
60,1.2,483.670074
61,1.22,493.073334
62,1.24,507.473114
63,1.26,525.150085
64,1.28,545.620422
65,1.3,569.816772
66,1.32,592.291565
67,1.34,615.92157
68,1.36,639.66333
69,1.38,658.637756
70,1.4,674.221985
71,1.42,685.097229
72,1.44,695.250977
73,1.46,703.274658
74,1.48,705.387939
75,1.5,704.993103
76,1.52,697.214417
77,1.54,684.840149
78,1.56,667.514465
79,1.58,646.442993
80,1.6,617.149414
81,1.62,584.593384
82,1.64,547.176697
83,1.66,517.457031
84,1.68,499.140594
85,1.7,489.829742
86,1.72,482.452972
87,1.74,478.615753
88,1.76,479.2659
89,1.78,482.821289
90,1.8,489.741394
91,1.82,498.98822
92,1.84,507.978241
93,1.86,518.083252
94,1.88,529.261414
95,1.9,540.775146
96,1.92,552.943542
97,1.94,565.050537
98,1.96,577.003296
99,1.98,588.608643
100,2,601.093628
101,2.02,613.659058
102,2.04,626.265625
103,2.06,641.55188
104,2.08,654.450928
105,2.1,666.797058
106,2.12,677.302856
107,2.14,685.058044
108,2.16,689.475525
109,2.18,691.952942
110,2.2,691.655151
111,2.22,690.36908
112,2.24,686.761353
113,2.26,683.918518
114,2.28,682.543152
115,2.3,683.548096
116,2.32,685.088562
117,2.34,687.732788
118,2.36,691.236755
119,2.38,694.624451
120,2.4,697.853394
121,2.42,700.616821
122,2.44,702.067566
123,2.46,702.191223
124,2.48,701.609192
125,2.5,700.049255
126,2.52,698.774963
127,2.54,698.195007
128,2.56,697.979431
129,2.58,698.226501
130,2.6,698.749878
131,2.62,699.247437
132,2.64,699.500366
133,2.66,699.919861
134,2.68,700.474426
135,2.7,700.631042
136,2.72,700.821777
137,2.74,701.258423
138,2.76,701.423462
139,2.78,701.356689
140,2.8,701.078735
141,2.82,701.091919
142,2.84,700.83313
143,2.86,700.767639
