Frame,Time_Seconds,CGY
1,0.02,673.555969
2,0.04,673.195984
3,0.06,672.58044400000006
4,0.08,671.704712
5,0.1,670.535217
6,0.12,669.264038
7,0.14,667.65332
8,0.16,665.257812
9,0.18,661.556519
10,0.2,657.577393
11,0.22,653.012512
12,0.24,647.535217
13,0.26,643.690002
14,0.28,639.0401
15,0.3,633.791809
16,0.32,626.936218
17,0.34,618.290649
18,0.36,609.132507
19,0.38,599.9198
20,0.4,590.017578
21,0.42,580.391174
22,0.44,568.673401
23,0.46,558.978882
24,0.48,547.945251
25,0.5,538.246277
26,0.52,527.535278
27,0.54,516.635559
28,0.56,506.893677
29,0.58,497.946289
30,0.6,488.947937
31,0.62,479.750366
32,0.64,469.111328
33,0.66,458.856842
34,0.68,452.643951
35,0.7,447.263153
36,0.72,443.510132
37,0.74,440.458801
38,0.76,438.351074
39,0.78,437.530792
40,0.8,437.528168
41,0.82,437.399841
42,0.84,439.739197
43,0.86,443.020416
44,0.88,448.4776
45,0.9,454.580292
46,0.92,463.67514
47,0.94,475.629333
48,0.96,496.863007
49,0.98,520.381409
50,1,548.967407
51,1.02,581.342468
52,1.04,616.325012
53,1.06,648.052429
54,1.08,679.644775
55,1.1,707.238098
56,1.12,735.915588
57,1.14,757.053223
58,1.16,774.008057
59,1.18,785.422546
60,1.2,792.136047
61,1.22,793.01239
62,1.24,791.692871
63,1.26,785.063416
64,1.28,772.187073
65,1.3,755.822449
66,1.32,736.45752
67,1.34,714.060364
68,1.36,685.837646
69,1.38,651.915955
70,1.4,616.553223
71,1.42,584.11853
72,1.44,561.008606
73,1.46,540.10705599999994
74,1.48,525.239441
75,1.5,515.015381
76,1.52,510.053864
77,1.54,508.199799
78,1.56,507.228424
79,1.58,507.880768
80,1.6,512.861023
81,1.62,518.941833
82,1.64,526.630371
83,1.66,534.738647
84,1.68,543.493286
85,1.7,553.476074
86,1.72,561.395752
87,1.74,570.189514
88,1.76,577.213501
89,1.78,584.566772
90,1.8,591.705811
91,1.82,599.496094
92,1.84,607.85083
93,1.86,615.275269
94,1.88,622.81012
95,1.9,629.713562
96,1.92,637.299683
97,1.94,642.440552
98,1.96,646.842712
99,1.98,649.835938
100,2,652.728455
101,2.02,655.583252
102,2.04,657.715332
103,2.06,660.570129
104,2.08,663.340515
105,2.1,666.690308
106,2.12,669.172791
107,2.14,673.167358
108,2.16,677.565247
109,2.18,681.090759
110,2.2,684.358704
111,2.22,686.609314
112,2.24,687.924744
113,2.26,689.46875
114,2.28,690.022949
115,2.3,691.018494
116,2.32,691.963074
117,2.34,692.771057
118,2.36,693.266846
119,2.38,694.226929
120,2.4,695.469543
121,2.42,697.09375
122,2.44,698.795349
123,2.46,699.141113
124,2.48,699.27948
125,2.5,699.280212
126,2.52,699.175842
127,2.54,699.323486
128,2.56,699.716492
129,2.58,700.198486
130,2.6,700.841248
131,2.62,701.808289
132,2.64,702.200256
133,2.66,702.62677
134,2.68,703.018311
135,2.7,703.505249
136,2.72,704.145325
