Frame,Time_Seconds,CGY
1,0.02,607.865967
2,0.04,607.677612
3,0.06,607.963745
4,0.08,608.296692
5,0.1,608.423523
6,0.12,608.388611
7,0.14,607.865234
8,0.16,607.059143
9,0.18,606.202515
10,0.2,604.715881
11,0.22,602.510254
12,0.24,599.946411
13,0.26,596.666077
14,0.28,593.010254
15,0.3,589.607849
16,0.32,585.088989
17,0.34,578.897278
18,0.36,572.48407
19,0.38,564.58728
20,0.4,553.602417
21,0.42,540.687256
22,0.44,527.575317
23,0.46,517.462219
24,0.48,503.635681
25,0.5,489.174896
26,0.52,478.494293
27,0.54,465.49942
28,0.56,452.886108
29,0.58,440.229797
30,0.6,427.358826
31,0.62,421.344299
32,0.64,416.537567
33,0.66,414.873749
34,0.68,415.652771
35,0.7,418.710693
36,0.72,423.083618
37,0.74,429.245026
38,0.76,436.207153
39,0.78,446.58477799999997
40,0.8,459.939209
41,0.82,473.426453
42,0.84,487.85672
43,0.86,506.12915
44,0.88,526.991943
45,0.9,549.714417
46,0.92,575.144653
47,0.94,598.949097
48,0.96,621.942993
49,0.98,644.136047
50,1,663.528748
51,1.02,676.970947
52,1.04,682.833435
53,1.06,685.833557
54,1.08,685.969971
55,1.1,682.979614
56,1.12,673.407349
57,1.14,660.489929
58,1.16,642.62384
59,1.18,620.838257
60,1.2,599.017639
61,1.22,582.481201
62,1.24,575.196899
63,1.26,575.322998
64,1.28,581.427673
65,1.3,593.268799
66,1.32,608.110046
67,1.34,619.134338
68,1.36,626.079346
69,1.38,628.36554
70,1.4,628.442017
71,1.42,627.096375
72,1.44,624.873474
73,1.46,621.714905
74,1.48,620.478271
75,1.5,618.447998
76,1.52,618.219543
77,1.54,618.027466
78,1.56,617.96759
79,1.58,618.438965
80,1.6,619.14563
81,1.62,619.644409
82,1.64,619.539124
83,1.66,619.800354
84,1.68,619.954285
85,1.7,620.412292
86,1.72,620.723206
87,1.74,621.416931
88,1.76,621.578613
89,1.78,621.548401
90,1.8,621.00116
91,1.82,620.057434
92,1.84,618.536438
93,1.86,618.506714
94,1.88,618.388123
95,1.9,618.332764
96,1.92,618.434326
97,1.94,618.472412
98,1.96,618.605286
99,1.98,618.494202
100,2,618.415527
101,2.02,618.562439
102,2.04,618.593567
103,2.06,618.630615
104,2.08,618.631348
105,2.1,618.716919
106,2.12,618.762329
107,2.14,618.796875
108,2.16,618.89624
