Frame,Time_Seconds,CGY
1,0.02,698.357422
2,0.04,698.292358
3,0.06,697.753052
4,0.08,696.886719
5,0.1,696.160767
6,0.12,694.877075
7,0.14,693.087769
8,0.16,692.036011
9,0.18,690.619751
10,0.2,688.948608
11,0.22,687.181702
12,0.24,685.117676
13,0.26,683.116577
14,0.28,680.867432
15,0.3,677.506287
16,0.32,673.947937
17,0.34,669.000244
18,0.36,662.790649
19,0.38,654.766724
20,0.4,647.218445
21,0.42,639.229309
22,0.44,631.649414
23,0.46,622.206055
24,0.48,612.110046
25,0.5,600.763
26,0.52,587.636353
27,0.54,573.696899
28,0.56,559.090637
29,0.58,543.721375
30,0.6,526.135803
31,0.62,507.674194
32,0.64,491.898651
33,0.66,478.566925
34,0.68,466.429901
35,0.7,460.64679
36,0.72,453.530579
37,0.74,448.746277
38,0.76,448.539886
39,0.78,451.748291
40,0.8,456.335297
41,0.82,465.014038
42,0.84,476.514923
43,0.86,488.837982
44,0.88,504.326691
45,0.9,524.289368
46,0.92,550.221436
47,0.94,578.121033
48,0.96,605.221252
49,0.98,633.925171
50,1,660.823425
51,1.02,684.490601
52,1.04,701.784973
53,1.06,723.23999
54,1.08,740.036682
55,1.1,753.57959
56,1.12,764.672485
57,1.14,770.71698
58,1.16,773.347595
59,1.18,775.19043
60,1.2,771.527466
61,1.22,762.805176
62,1.24,748.389587
63,1.26,729.069519
64,1.28,702.130615
65,1.3,673.053589
66,1.32,638.674622
67,1.34,605.530334
68,1.36,578.794861
69,1.38,558.798889
70,1.4,541.724121
71,1.42,529.127014
72,1.44,523.291992
73,1.46,523.34021
74,1.48,526.876404
75,1.5,532.572937
76,1.52,539.420166
77,1.54,547.763855
78,1.56,557.603027
79,1.58,569.421265
80,1.6,583.482849
81,1.62,599.405762
82,1.64,615.564758
83,1.66,630.860596
84,1.68,645.911499
85,1.7,657.910034
86,1.72,668.455383
87,1.74,678.157715
88,1.76,685.825317
89,1.78,690.864868
90,1.8,692.653381
91,1.82,690.391907
92,1.84,687.59967
93,1.86,683.374207
94,1.88,678.879028
95,1.9,677.051636
96,1.92,676.740295
97,1.94,679.552856
98,1.96,683.99585
99,1.98,691.933655
100,2,701.813599
101,2.02,710.125122
102,2.04,714.509949
103,2.06,716.656921
104,2.08,716.400635
105,2.1,714.558899
106,2.12,711.641235
107,2.14,709.869507
108,2.16,708.196045
109,2.18,709.137573
110,2.2,709.705811
111,2.22,709.261719
112,2.24,708.861511
113,2.26,708.281311
114,2.28,707.608826
115,2.3,707.252441
116,2.32,707.230408
