Frame,Time_Seconds,CGY
1,0.02,672.595947
2,0.04,668.112061
3,0.06,663.161804
4,0.08,658.807129
5,0.1,653.370728
6,0.12,648.475037
7,0.14,643.489136
8,0.16,638.675049
9,0.18,634.550659
10,0.2,629.754944
11,0.22,625.593811
12,0.24,621.642334
13,0.26,617.868958
14,0.28,614.794189
15,0.3,611.003601
16,0.32,607.228333
17,0.34,601.993286
18,0.36,596.032166
19,0.38,589.146851
20,0.4,583.242249
21,0.42,576.777832
22,0.44,569.557068
23,0.46,561.722534
24,0.48,551.751465
25,0.5,544.509644
26,0.52,535.761902
27,0.54,527.067505
28,0.56,517.773987
29,0.58,510.365387
30,0.6,503.167847
31,0.62,496.656342
32,0.64,490.723053
33,0.66,484.630798
34,0.68,478.19873
35,0.7,472.603027
36,0.72,466.300629
37,0.74,460.859528
38,0.76,455.002747
39,0.78,450.265076
40,0.8,447.847076
41,0.82,448.622284
42,0.84,452.479767
43,0.86,461.5672
44,0.88,471.433441
45,0.9,484.605835
46,0.92,503.44101
47,0.94,524.542786
48,0.96,549.378174
49,0.98,573.687317
50,1,600.175476
51,1.02,622.856018
52,1.04,644.589783
53,1.06,663.625366
54,1.08,675.0401
55,1.1,683.935913
56,1.12,688.118774
57,1.14,688.315918
58,1.16,684.687744
59,1.18,676.714722
60,1.2,664.081482
61,1.22,649.933105
62,1.24,631.515442
63,1.26,608.402649
64,1.28,580.030762
65,1.3,547.01355
66,1.32,516.729736
67,1.34,497.458221
68,1.36,482.795746
69,1.38,471.793213
70,1.4,466.88681
71,1.42,464.091583
72,1.44,464.211426
73,1.46,466.723297
74,1.48,471.706451
75,1.5,478.872345
76,1.52,487.307617
77,1.54,497.389771
78,1.56,507.144012
79,1.58,517.397888
80,1.6,527.430786
81,1.62,537.85705599999994
82,1.64,547.746765
83,1.66,556.97406
84,1.68,565.751343
85,1.7,574.171875
86,1.72,582.407654
87,1.74,590.385254
88,1.76,596.847168
89,1.78,602.221191
90,1.8,608.108643
91,1.82,611.585022
92,1.84,615.162964
93,1.86,618.651062
94,1.88,621.69873
95,1.9,624.690918
96,1.92,627.886475
97,1.94,629.547668
98,1.96,630.132996
99,1.98,630.250916
100,2,631.399902
101,2.02,633.603333
102,2.04,635.201538
103,2.06,636.808044
104,2.08,638.794189
105,2.1,641.405151
106,2.12,644.0672
107,2.14,646.27887
108,2.16,647.950134
109,2.18,650.888
110,2.2,653.949463
111,2.22,657.248535
112,2.24,660.378418
113,2.26,663.064514
114,2.28,665.031189
115,2.3,666.62561
116,2.32,668.242004
117,2.34,669.216309
118,2.36,669.96637
119,2.38,670.249329
120,2.4,670.296265
121,2.42,670.373413
122,2.44,670.420227
123,2.46,669.408508
124,2.48,668.711182
125,2.5,667.236572
126,2.52,666.91803
127,2.54,667.696533
128,2.56,669.82843
129,2.58,672.343933
130,2.6,674.630615
131,2.62,677.150879
132,2.64,679.501343
133,2.66,681.651917
134,2.68,682.813416
