Frame,Time_Seconds,CGY
1,0.02,677.835693
2,0.04,679.231934
3,0.06,680.0047
4,0.08,680.116211
5,0.1,680.101501
6,0.12,679.778442
7,0.14,679.415161
8,0.16,679.008423
9,0.18,677.865051
10,0.2,677.108704
11,0.22,675.666687
12,0.24,674.495483
13,0.26,673.10614
14,0.28,671.197327
15,0.3,668.352051
16,0.32,664.764038
17,0.34,659.952637
18,0.36,655.65448
19,0.38,649.835754
20,0.4,644.366577
21,0.42,637.409241
22,0.44,629.800781
23,0.46,619.455566
24,0.48,610.017334
25,0.5,599.140747
26,0.52,586.213074
27,0.54,573.428406
28,0.56,562.450684
29,0.58,552.029724
30,0.6,543.414307
31,0.62,531.920837
32,0.64,527.230652
33,0.66,523.942139
34,0.68,521.319885
35,0.7,522.433472
36,0.72,525.741699
37,0.74,533.030701
38,0.76,542.624451
39,0.78,555.880127
40,0.8,569.313721
41,0.82,588.379761
42,0.84,605.937927
43,0.86,624.967041
44,0.88,642.454041
45,0.9,660.676819
46,0.92,672.035889
47,0.94,678.841003
48,0.96,681.831116
49,0.98,682.06073
50,1,679.690674
51,1.02,673.874512
52,1.04,665.643372
53,1.06,649.281311
54,1.08,629.302063
55,1.1,605.945679
56,1.12,576.785522
57,1.14,550.846375
58,1.16,525.38830599999994
59,1.18,506.897888
60,1.2,495.902527
61,1.22,491.33078
62,1.24,492.091003
63,1.26,494.987152
64,1.28,499.239166
65,1.3,505.843414
66,1.32,513.105835
67,1.34,519.886963
68,1.36,527.295715
69,1.38,535.133301
70,1.4,541.912415
71,1.42,548.808533
72,1.44,555.740356
73,1.46,561.144836
74,1.48,564.109131
75,1.5,567.115356
76,1.52,568.323853
77,1.54,567.236938
78,1.56,565.634827
79,1.58,563.428528
80,1.6,561.54425
81,1.62,559.88562
82,1.64,558.609741
83,1.66,557.601135
84,1.68,557.820862
85,1.7,557.736816
86,1.72,557.679321
87,1.74,557.695862
88,1.76,558.176636
89,1.78,558.818237
90,1.8,559.180481
91,1.82,558.914917
92,1.84,561.018127
93,1.86,562.180847
