Frame,Time_Seconds,CGY
1,0.02,605.33313
2,0.04,603.622559
3,0.06,601.066467
4,0.08,597.418884
5,0.1,594.934753
6,0.12,591.046326
7,0.14,588.673035
8,0.16,586.645081
9,0.18,584.777466
10,0.2,582.03356900000006
11,0.22,578.81134
12,0.24,575.21582
13,0.26,572.629211
14,0.28,569.532715
15,0.3,564.582764
16,0.32,561.246277
17,0.34,557.355469
18,0.36,553.422302
19,0.38,549.831238
20,0.4,545.896057
21,0.42,542.964539
22,0.44,539.591187
23,0.46,536.152405
24,0.48,532.757935
25,0.5,529.242798
26,0.52,524.968872
27,0.54,521.646729
28,0.56,518.560852
29,0.58,516.310974
30,0.6,513.236633
31,0.62,510.262054
32,0.64,507.89975
33,0.66,506.724152
34,0.68,505.484009
35,0.7,504.963318
36,0.72,504.508179
37,0.74,504.534058
38,0.76,504.850189
39,0.78,505.535492
40,0.8,506.433594
41,0.82,507.967102
42,0.84,509.731384
43,0.86,511.841187
44,0.88,514.616211
45,0.9,517.714417
46,0.92,520.900024
47,0.94,523.999878
48,0.96,526.98645
49,0.98,530.173889
50,1,533.362915
51,1.02,536.421265
52,1.04,540.642578
53,1.06,545.006409
54,1.08,549.270325
55,1.1,552.731323
56,1.12,555.889343
57,1.14,559.288269
58,1.16,562.442139
59,1.18,565.683472
60,1.2,568.402893
61,1.22,570.454407
62,1.24,572.013855
63,1.26,572.967529
64,1.28,573.546997
65,1.3,573.90094
66,1.32,573.217407
67,1.34,572.419312
68,1.36,571.30658
69,1.38,569.139282
70,1.4,565.935486
71,1.42,561.413025
72,1.44,555.991272
73,1.46,550.927795
74,1.48,542.123108
75,1.5,536.140198
76,1.52,528.916504
77,1.54,522.601257
78,1.56,515.477295
79,1.58,507.743744
80,1.6,499.032623
81,1.62,489.407776
82,1.64,481.686707
83,1.66,475.329987
84,1.68,469.045258
85,1.7,462.777161
86,1.72,460.615723
87,1.74,461.379608
88,1.76,463.559387
89,1.78,467.805298
90,1.8,473.669891
91,1.82,482.058136
92,1.84,492.444946
93,1.86,506.087036
94,1.88,523.963135
95,1.9,543.498413
96,1.92,569.330078
97,1.94,594.874023
98,1.96,620.789124
99,1.98,649.414062
100,2,675.419373
101,2.02,693.885742
102,2.04,707.258301
103,2.06,719.421448
104,2.08,727.710205
105,2.1,730.156311
106,2.12,728.578491
107,2.14,725.74115
108,2.16,715.964233
109,2.18,703.496277
110,2.2,685.39032
111,2.22,665.537231
112,2.24,642.407776
113,2.26,614.702637
114,2.28,583.837524
115,2.3,549.105347
116,2.32,516.67511
117,2.34,491.682831
118,2.36,471.82663
119,2.38,456.842712
120,2.4,448.572113
121,2.42,446.522125
122,2.44,444.774811
123,2.46,444.939331
124,2.48,447.613617
125,2.5,451.799225
126,2.52,457.75473
127,2.54,466.720398
128,2.56,476.122803
129,2.58,486.001251
130,2.6,496.659424
131,2.62,506.632385
132,2.64,515.55603
133,2.66,522.993103
134,2.68,529.609436
135,2.7,535.08374
136,2.72,540.078125
137,2.74,543.889587
138,2.76,547.161804
139,2.78,549.328674
140,2.8,551.851257
141,2.82,554.050537
142,2.84,556.715881
143,2.86,559.649841
144,2.88,562.482361
145,2.9,565.115356
146,2.92,567.33136
147,2.94,569.376587
148,2.96,571.713806
149,2.98,573.964417
150,3,576.837952
151,3.02,579.075195
152,3.04,582.429932
153,3.06,585.804016
154,3.08,589.039734
155,3.1,592.45929
156,3.12,595.996216
157,3.14,600.169922
158,3.16,605.009888
159,3.18,609.132202
160,3.2,613.525635
161,3.22,616.758057
162,3.24,620.348816
163,3.26,623.938293
164,3.28,627.441772
165,3.3,630.204285
166,3.32,632.702148
167,3.34,635.545532
168,3.36,639.325195
169,3.38,642.848816
170,3.4,645.055176
171,3.42,646.881042
172,3.44,648.651794
173,3.46,649.535828
174,3.48,650.413513
175,3.5,651.209656
176,3.52,651.980835
177,3.54,652.847595
178,3.56,653.90741
179,3.58,654.458191
180,3.6,654.957153
181,3.62,655.387146
182,3.64,655.724365
183,3.66,655.896606
184,3.68,656.028381
185,3.7,655.980591
186,3.72,655.7948
