Frame,Time_Seconds,CGY
1,0.02,728.325195
2,0.04,728.233948
3,0.06,728.166748
4,0.08,728.151306
5,0.1,727.937866
6,0.12,727.569824
7,0.14,727.047791
8,0.16,726.491455
9,0.18,726.506958
10,0.2,726.494934
11,0.22,726.695007
12,0.24,726.804382
13,0.26,726.748779
14,0.28,726.678284
15,0.3,726.668701
16,0.32,726.772095
17,0.34,727.035645
18,0.36,727.474976
19,0.38,727.994629
20,0.4,728.017639
21,0.42,728.480835
22,0.44,729.15918
23,0.46,729.808105
24,0.48,729.995605
25,0.5,730.06134
26,0.52,729.21521
27,0.54,729.079285
28,0.56,729.090637
29,0.58,730.342224
30,0.6,731.321533
31,0.62,732.415771
32,0.64,733.814026
33,0.66,734.560486
34,0.68,734.503784
35,0.7,734.371948
36,0.72,733.123169
37,0.74,731.131409
38,0.76,727.386047
39,0.78,722.092957
40,0.8,715.841125
41,0.82,709.858704
42,0.84,702.301086
43,0.86,692.965088
44,0.88,681.509888
45,0.9,666.974548
46,0.92,651.532166
47,0.94,637.00769
48,0.96,619.863037
49,0.98,600.077454
50,1,581.232178
51,1.02,564.188782
52,1.04,548.868469
53,1.06,533.082825
54,1.08,520.222656
55,1.1,508.372101
56,1.12,504.712677
57,1.14,500.667603
58,1.16,500.006775
59,1.18,504.12326
60,1.2,511.23465
61,1.22,521.471924
62,1.24,537.27179
63,1.26,556.554199
64,1.28,577.540955
65,1.3,601.347778
66,1.32,626.435547
67,1.34,653.81958
68,1.36,676.785583
69,1.38,700.965698
70,1.4,719.074646
71,1.42,731.842896
72,1.44,744.300232
73,1.46,749.286926
74,1.48,749.128723
75,1.5,743.928345
76,1.52,733.729065
77,1.54,721.714355
78,1.56,701.693787
79,1.58,679.935669
80,1.6,651.601379
81,1.62,617.730286
82,1.64,583.984863
83,1.66,543.132019
84,1.68,511.618561
85,1.7,483.419159
86,1.72,454.357666
87,1.74,431.593689
88,1.76,415.924072
89,1.78,400.882751
90,1.8,385.801575
91,1.82,372.769226
92,1.84,366.341461
93,1.86,362.247559
94,1.88,358.544037
95,1.9,357.97876
96,1.92,360.065002
97,1.94,362.928009
98,1.96,366.519592
99,1.98,371.797699
100,2,378.141571
101,2.02,383.738434
102,2.04,389.093933
103,2.06,392.38855
104,2.08,395.864655
105,2.1,399.670166
106,2.12,405.453125
107,2.14,408.318878
108,2.16,413.755096
109,2.18,419.041199
110,2.2,423.655884
111,2.22,430.420898
112,2.24,439.160126
113,2.26,447.746277
114,2.28,456.27179
115,2.3,464.784821
116,2.32,474.703308
117,2.34,484.838806
118,2.36,495.134186
119,2.38,506.843262
120,2.4,519.587769
121,2.42,531.412598
122,2.44,543.330811
123,2.46,556.610046
124,2.48,568.420349
125,2.5,580.230042
126,2.52,592.944092
127,2.54,604.764771
128,2.56,615.533203
129,2.58,626.558716
130,2.6,638.742798
131,2.62,650.125122
132,2.64,660.01416
133,2.66,669.453125
134,2.68,678.093628
135,2.7,684.909729
136,2.72,690.880066
137,2.74,696.045959
138,2.76,699.323242
139,2.78,702.938049
140,2.8,705.395325
141,2.82,707.503906
142,2.84,710.389587
143,2.86,711.432495
144,2.88,712.474365
145,2.9,713.352295
146,2.92,714.411194
147,2.94,714.966858
148,2.96,715.420959
149,2.98,715.645081
150,3,715.540222
151,3.02,715.421265
152,3.04,715.637695
153,3.06,715.782166
154,3.08,715.445251
155,3.1,715.275574
156,3.12,715.082275
157,3.14,714.896179
158,3.16,715.057007
159,3.18,715.180115
160,3.2,715.460632
161,3.22,716.288147
162,3.24,716.774048
163,3.26,718.042358
164,3.28,719.305542
165,3.3,721.028503
